item,itemLabel,iso639_2,iso639_1
Q8829558,Bazigar,bfr,
Q10412317,Anmatyerre,amx,
Q10576334,Manchu-Tungus,,
Q10719110,Wakka Wakka,wkw,
Q10728232,Eastern Arrernte,aer,
Q10966761,Kabutra,kbu,
Q11089833,Pumi,,
Q11732069,Balundu,,
Q11870333,Q11870333,,
Q11883902,Q11883902,,
Q11904266,Agamja,,
Q12028082,Karagozlu,,
Q12629039,Churahi,cdj,
Q12645549,Western Arrarnta,are,
Q12952322,Changthang,cna,
Q12952433,Kondekor,gau,
Q12952679,Alu Kurumba,xua,
Q12952751,Machame,jmc,
Q12953424,Chambeali,cdh,
Q12953554,Northern Guiyang Hmong,huj,
Q12953686,Mahali,mjx,
Q12953882,Kohistani Shina,plk,
Q13059308,Q13059308,,
Q13406670,Khortha,,
Q13583746,Comox,coo,
Q13600429,Pangwali,pgg,
Q14194500,Liangmai Naga,njn,
Q15665351,Kalaallisut,,
Q15665389,Tunumiisut,,
Q16112270,Southwest Pashai,psh,
Q16112737,Ayerrerenge,axe,
Q16114529,Q16114529,,
Q16334334,Yugambeh,xjb,
Q16648462,Kinyabwisha,,
Q16653174,Western Canadian Inuktitut,ikt,
Q16827787,Amarizana,,
Q16888615,Nawayathi,,
Q16918610,Waitaká,,
Q16919340,Zemiaki,,
Q16930672,Papuan Pidgin English,,
Q16979305,Turrubal,yxg,
Q17455500,Gaddi,gbk,
Q18415595,Doteli,dty,
Q18472819,Wemba Wemba,xww,
Q18643518,Tatana,txx,
Q19742573,Q19742573,,
Q19933293,Northern Luri,lrc,
Q20085721,Tsimshian,tsi,
Q20816352,Nen,nqn,
Q21946879,Panchpargania,tdb,
Q24938325,Sesayap Tidung,ntd,
Q24952008,Kholosi,,
Q25559411,Tundra Enets,enh,
Q25559516,Bengkulu,bke,
Q25559714,Seward Peninsula Inupiaq,esk,
Q26763599,Ponca,,
Q26763622,Omaha,,
Q30312338,North Alaskan Inupiaq,esi,
Q30334907,Padri,,
Q31752631,Butchulla,xby,
Q47091826,Ahaggar Tuareg,,
Q47522426,Mankiyali,nlm,
Q50934243,Chaari,cxh,
Q52152004,Zaranda,zbu,
Q53024383,Farvi,,
Q56292731,Kishtwari,,
Q56356571,New Persian,,
Q60785085,Pattapu,ptq,
Q63214959,Southern Tidung,itd,
Q65121755,Pertame,,
Q85799728,Sarazi,,
Q86730632,Bala,,
Q97165320,Old Lombard,,
Q105197086,Old Cham,ocm,
Q105198619,Pogali,hkh,
Q105555318,Rambani,,
Q106249400,Mbuun,,
Q107610173,Fogaha,,
Q111460416,Shershabadia language,,
Q113456590,American Norwegian,,
Q117188620,Songlin,,
Q117211630,Laurowani,,
